"","OBJECTID","post_2","Shape_Leng","Shape_Area","arsenal","astonvilla","chelsea","everton","fulham","liverpool","manchestercity","manchesterunited","newcastleunited","norwichcity","queensparkrangers","random","reading","southampton","stokecity","sunderland","swanseacity","tottenhamhotspur","westbromwichalbion","westhamunited","wiganathletic","arsenal_lq","arsenal_norm","astonvilla_lq","astonvilla_norm","chelsea_lq","chelsea_norm","everton_lq","everton_norm","fulham_lq","fulham_norm","liverpool_lq","liverpool_norm","manchestercity_lq","manchestercity_norm","manchesterunited_lq","manchesterunited_norm","newcastleunited_lq","newcastleunited_norm","norwichcity_lq","norwichcity_norm","queensparkrangers_lq","queensparkrangers_norm","random_lq","random_norm","reading_lq","reading_norm","southampton_lq","southampton_norm","stokecity_lq","stokecity_norm","sunderland_lq","sunderland_norm","swanseacity_lq","swanseacity_norm","tottenhamhotspur_lq","tottenhamhotspur_norm","westbromwichalbion_lq","westbromwichalbion_norm","westhamunited_lq","westhamunited_norm","wiganathletic_lq","wiganathletic_norm"
"0",1,"AB",6.81487995343,1.14727361426,96,16,71,157,10,128,144,163,115,7,521,1289,3,88,1,17,2,109,32,68,2,0.634035382654698,0.000186190845616757,0.155963021654858,3.10318076027929e-05,0.425821401022677,0.000137703646237393,0.668611899537635,0.000304499612102405,0.513655529175469,1.93948797517455e-05,0.321521203637464,0.000248254460822343,0.673154095832361,0.000279286268425136,0.532569122694156,0.000316136539953452,0.796948488092475,0.000223041117145074,0.156705702710357,1.35764158262219e-05,4.45676395465043,0.00101047323506594,1,0.0025,0.136864037949434,5.81846392552366e-06,1.76008187971277,0.000170674941815361,0.0318672022942302,1.93948797517455e-06,0.332142900460702,3.29712955779674e-05,0.163858245157718,3.87897595034911e-06,0.481217270598348,0.000211404189294026,0.451570464071013,6.20636152055857e-05,0.373063201117628,0.00013188518231187,0.216977126829726,3.87897595034911e-06
"1",2,"AL",1.21961693641,0.0389081141085,133,44,69,55,5,320,72,50,50,15,57,726,0,26,3,3,1,316,16,198,3,1.55958912844601,0.000457988980716253,0.761501268610273,0.000151515151515152,0.734741419864935,0.000237603305785124,0.415866019351482,0.000189393939393939,0.455993097181253,1.72176308539945e-05,1.42713784947896,0.00110192837465565,0.597586521713439,0.000247933884297521,0.290051208890114,0.000172176308539945,0.615203378339442,0.000172176308539945,0.596203219579843,5.16528925619835e-05,0.865711251513648,0.000196280991735537,1,0.0025,0,0,0.923293640694554,8.95316804407713e-05,0.169738941145714,1.03305785123967e-05,0.104067136289219,1.03305785123967e-05,0.14546369008836,3.4435261707989e-06,2.47695483015141,0.00108815426997245,0.400877636492793,5.50964187327824e-05,1.92865695016292,0.000681818181818182,0.577858505131232,1.03305785123967e-05
"2",3,"B1",0.816914558045,0.0073334331245,59,146,27,33,4,48,32,113,30,3,14,406,1,7,5,4,2,34,68,23,0,1.23714657446306,0.000363300492610837,4.51836590168017,0.000899014778325123,0.514114418226332,0.000166256157635468,0.44618531534361,0.00020320197044335,0.652317218824808,2.46305418719212e-05,0.382796334503101,0.000295566502463054,0.474929189670451,0.000197044334975369,1.17217837807523,0.000695812807881773,0.660055644346456,0.000184729064039409,0.213223417445796,1.84729064039409e-05,0.380221638595831,8.62068965517241e-05,1,0.0025,0.144842155104122,6.1576354679803e-06,0.444503437098307,4.31034482758621e-05,0.505872213759394,3.07881773399015e-05,0.248120659921093,2.46305418719212e-05,0.520229748788913,1.23152709359606e-05,0.476563205614028,0.00020935960591133,3.04657129901112,0.00041871921182266,0.400615934639754,0.000141625615763547,0,0
"3",4,"B2",1.24392610211,0.00801093670499,17,250,21,45,3,89,66,71,17,35,21,355,3,3,11,7,3,52,69,41,0,0.407676565144143,0.000119718309859155,8.84843023385177,0.00176056338028169,0.457312418340919,0.000147887323943662,0.695843423928959,0.000316901408450704,0.559522797555363,2.11267605633803e-05,0.811734903223888,0.000626760563380282,1.12026431042336,0.000464788732394366,0.842308710616892,5e-04,0.427765639181149,0.000119718309859155,2.84498099709367,0.000246478873239437,0.652267543393975,0.000147887323943662,1,0.0025,0.496951394131889,2.11267605633803e-05,0.217869290296071,2.11267605633803e-05,1.27280298966166,7.74647887323944e-05,0.496590785560384,4.92957746478873e-05,0.8924504704576,2.11267605633803e-05,0.833571035370617,0.000366197183098592,3.53548667649119,0.000485915492957746,0.816736417392938,0.000288732394366197,0,0
"4",5,"B3",1.18064936387,0.011967727993,16,643,13,89,4,65,137,94,14,9,17,436,1,2,8,4,4,50,107,39,0,0.312412694282074,9.1743119266055e-05,18.5301552966071,0.00368692660550459,0.23050423882081,7.45412844036697e-05,1.12054908150028,0.000510321100917431,0.607433006520349,2.29357798165138e-05,0.482702373257685,0.000372706422018349,1.89338527722547,0.000785550458715596,0.90799333483931,0.000538990825688073,0.286831520066151,8.02752293577982e-05,0.595656244149036,5.1605504587156e-05,0.429929513366387,9.74770642201835e-05,1,0.0025,0.13487595177127,5.73394495412844e-06,0.118262382347256,1.14678899082569e-05,0.753703188206656,4.58715596330275e-05,0.231048137449458,2.29357798165138e-05,0.96886824774449,2.29357798165138e-05,0.652606116700267,0.000286697247706422,4.46401613503916,0.000613532110091743,0.632564091452519,0.000223623853211009,0,0
"5",6,"B4",2.12505310051,0.0300811959345,14,298,7,25,0,32,55,52,6,3,23,352,0,5,7,2,0,25,71,30,0,0.338595008149464,9.94318181818182e-05,10.6372208458998,0.00211647727272727,0.153736655786956,4.97159090909091e-05,0.389874393142015,0.000177556818181818,0,0,0.294347181455036,0.000227272727272727,0.941510014678725,0.000390625,0.622159843069295,0.000369318181818182,0.152262836139012,4.26136363636364e-05,0.245933828076685,2.13068181818182e-05,0.720476798134713,0.000163352272727273,1,0.0025,0,0,0.366210218063946,3.55113636363636e-05,0.816868654263748,4.97159090909091e-05,0.143092312397676,1.42045454545455e-05,0,0,0.404170833638234,0.000177556818181818,3.66896993086959,0.000504261363636364,0.602705296925914,0.000213068181818182,0,0
"6",7,"B5",0.44967091903,0.003281576655,3,29,5,5,1,5,6,16,0,1,3,69,0,4,1,1,0,4,14,7,0,0.370141126921153,0.000108695652173913,5.2808457540582,0.00105072463768116,0.560199822329282,0.000181159420289855,0.397784888075331,0.000181159420289855,0.959568082764029,3.6231884057971e-05,0.234624564927927,0.000181159420289855,0.523970790777725,0.000217391304347826,0.976589809410889,0.000579710144927536,0,0,0.418206316342962,3.6231884057971e-05,0.479409892142569,0.000108695652173913,1,0.0025,0,0,1.49456228125807,0.000144927536231884,0.595316286337141,3.6231884057971e-05,0.36498908669552,3.6231884057971e-05,0,0,0.329897121021816,0.000144927536231884,3.69068867510213,0.000507246376811594,0.717423116727271,0.000253623188405797,0,0
"7",8,"B6",1.47319591569,0.0236012275635,34,736,35,78,1,106,83,72,15,24,21,387,9,16,16,9,13,20,352,35,3,0.74793375000605,0.000219638242894057,23.8957917467782,0.00475452196382429,0.699164119341197,0.00022609819121447,1.10639703753046,0.000503875968992248,0.171085782198238,6.45994832041344e-06,0.886844479526025,0.000684754521963824,1.2923258909492,0.000536175710594315,0.783542986620364,0.000465116279069767,0.346230738507314,9.68992248062015e-05,1.7895340048164,0.000155038759689922,0.598333276239951,0.000135658914728682,1,0.0025,1.36757941795985,5.81395348837209e-05,1.06588937888173,0.000103359173126615,1.69826661528735,0.000103359173126615,0.585680162371881,5.81395348837209e-05,3.54750983734869,8.39793281653747e-05,0.294094332693867,0.000129198966408269,16.5447483464157,0.00227390180878553,0.639563243594079,0.00022609819121447,1.08404463753301,1.93798449612403e-05
"8",9,"B7",1.56726237595,0.0393536778595,48,684,60,121,4,167,145,75,28,21,43,664,12,26,22,27,3,24,423,73,1,0.615415367652037,0.000180722891566265,12.9432278878547,0.00257530120481928,0.698562429049165,0.000225903614457831,1.0003331417292,0.000455572289156626,0.398856612715169,1.50602409638554e-05,0.814330982429068,0.000628765060240964,1.31584532171966,0.000545933734939759,0.475701455544178,0.000282379518072289,0.376682357677234,0.000105421686746988,0.912621916236374,7.9066265060241e-05,0.714060818266568,0.000161897590361446,1,0.0025,1.06275749949892,4.51807228915663e-05,1.00950479389194,9.78915662650602e-05,1.36097910039124,8.28313253012048e-05,1.02405823571349,0.000101656626506024,0.477138429235615,1.12951807228916e-05,0.205688867625048,9.03614457831325e-05,11.5877937134473,0.00159262048192771,0.777465628002424,0.000274849397590361,0.210605057593009,3.76506024096386e-06
"9",10,"B8",0.467420428707,0.0039886011675,26,375,25,113,3,70,84,77,25,13,17,402,1,2,4,5,1,21,75,54,1,0.550607945022013,0.000161691542288557,11.7208684067813,0.00233208955223881,0.480768504237817,0.00015547263681592,1.54304914045938,0.00070273631840796,0.49410595306506,1.86567164179104e-05,0.563799327662631,0.000435323383084577,1.25909398977931,0.000522388059701492,0.806688690516177,0.000478855721393035,0.555519468500541,0.00015547263681592,0.933161855123476,8.08457711442786e-05,0.46629171101429,0.000105721393034826,1,0.0025,0.146283370577795,6.21890547263682e-06,0.128264673391551,1.24378109452736e-05,0.408724614500127,2.48756218905473e-05,0.313236902761081,3.10945273631841e-05,0.262703082099874,6.21890547263682e-06,0.297276696741674,0.000130597014925373,3.39362364848144,0.000466417910447761,0.949935512766813,0.000335820895522388,0.34786507025313,6.21890547263682e-06
