post_4,arsenal,astonvilla,chelsea,everton,fulham,liverpool,manchestercity,manchesterunited,newcastleunited,norwichcity,queensparkrangers,random,reading,southampton,stokecity,sunderland,swanseacity,tottenhamhotspur,westbromwichalbion,westhamunited,wiganathletic
DY1,1,4,0,7,0,6,8,5,1,0,0,23,0,1,2,1,0,2,5,2,0
DY10,1,7,3,5,1,6,5,4,1,0,5,43,0,0,0,0,0,1,13,0,0
DY11,4,5,1,3,0,4,5,5,1,1,1,22,0,0,1,0,1,1,3,1,0
DY12,1,0,1,3,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,4,0
DY13,2,3,1,0,0,5,4,0,0,0,2,16,0,0,0,0,0,0,5,2,0
DY14,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
DY2,4,5,2,4,1,5,6,5,1,1,1,26,1,0,1,0,1,0,7,5,0
DY3,1,1,1,4,1,1,6,1,1,0,3,25,0,0,1,0,0,2,6,2,0
DY4,5,4,3,4,0,9,8,4,1,1,5,34,1,2,2,1,1,1,19,8,0
DY5,4,8,2,11,2,5,7,6,1,0,3,65,0,0,0,2,0,3,16,6,0
DY6,3,4,2,5,0,3,3,0,0,0,1,18,1,0,2,0,0,3,8,4,0
DY7,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0
DY8,0,3,2,5,1,3,6,2,1,1,2,31,0,0,0,0,0,1,10,3,0
DY9,1,3,0,3,0,2,2,4,0,2,1,19,0,0,0,0,0,1,7,1,0
E1,9,1,4,3,0,3,3,9,2,0,8,97,0,0,0,0,0,10,2,11,0
E10,2,2,3,2,0,3,4,1,1,1,3,32,0,0,0,0,0,6,1,6,0
E11,7,1,6,4,0,3,5,2,0,0,3,20,0,0,0,1,0,5,2,11,0
E12,4,1,3,5,0,2,3,6,0,0,3,26,0,0,1,0,0,4,2,9,0
E13,6,3,7,5,0,7,17,6,2,0,2,55,0,1,4,1,0,9,3,176,5
E14,14,0,9,11,2,11,8,10,2,4,2,113,0,1,1,0,0,17,6,32,2
E15,13,2,5,11,2,8,14,11,4,1,6,143,0,2,1,2,0,18,6,154,1
E16,4,0,2,2,1,3,7,10,0,0,2,87,0,0,0,1,1,7,1,31,0
E17,15,4,6,9,1,11,11,7,1,1,7,66,0,0,0,1,0,20,4,10,1
E18,1,0,1,1,0,2,1,1,0,0,3,10,0,1,0,0,0,3,0,7,0
E1W,2,0,2,1,0,0,4,1,0,0,0,18,0,0,0,0,1,1,0,5,0
