post_4,arsenal,astonvilla,chelsea,everton,fulham,liverpool,manchestercity,manchesterunited,newcastleunited,norwichcity,queensparkrangers,random,reading,southampton,stokecity,sunderland,swanseacity,tottenhamhotspur,westbromwichalbion,westhamunited,wiganathletic
G45,1,0,1,1,0,1,1,1,0,0,0,7,0,0,0,0,0,0,0,1,0
G46,2,1,1,4,1,2,9,2,2,0,1,22,0,2,1,1,0,0,1,4,1
G5,0,0,1,3,0,1,4,1,0,0,2,26,0,0,1,0,0,1,0,0,0
G51,0,0,2,5,0,2,8,1,2,0,0,34,0,0,0,0,0,4,4,1,1
G52,2,0,3,1,0,0,5,1,1,1,1,38,0,0,0,0,0,1,1,1,0
G53,0,1,4,3,0,0,3,2,1,0,1,31,0,0,0,1,0,0,0,2,0
G60,0,0,1,1,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
G61,1,0,0,1,0,1,2,2,0,0,1,17,0,0,0,0,0,0,0,0,0
G62,0,0,3,1,0,1,2,0,0,0,0,11,0,0,0,0,0,0,0,0,1
G63,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0
G64,1,1,1,2,0,1,5,1,1,0,0,28,0,1,0,0,0,0,0,3,0
G65,0,0,1,2,0,0,3,0,0,0,0,12,0,0,0,1,0,0,0,2,0
G66,1,2,3,2,1,4,7,1,1,1,0,33,0,0,0,0,0,1,2,5,1
G67,2,3,0,8,0,4,8,0,0,0,2,27,0,0,0,0,0,1,2,3,0
G68,0,0,0,3,0,4,3,2,0,0,0,34,0,0,0,1,0,1,0,0,0
G69,1,0,1,7,0,1,7,3,1,0,1,39,0,0,0,0,0,2,1,1,0
G71,0,0,3,7,0,0,5,1,0,0,2,36,0,0,0,1,0,1,2,3,0
G72,3,0,1,4,1,2,12,2,1,0,2,43,1,1,0,0,0,2,3,3,0
G73,0,1,0,1,0,1,2,1,0,0,0,16,0,0,0,0,0,2,0,0,0
G74,0,0,1,2,0,5,7,1,1,0,1,49,0,0,1,0,0,1,1,4,0
G75,0,0,1,1,0,2,3,1,0,0,0,32,0,0,0,0,0,2,0,0,0
G76,0,0,0,0,0,1,2,0,0,0,1,16,0,0,0,0,0,0,2,1,0
G77,0,0,3,1,0,1,1,0,0,0,2,29,0,0,0,0,0,1,0,1,0
G78,2,0,1,5,0,4,9,0,2,0,2,21,0,0,0,0,0,0,0,4,0
G81,1,0,1,4,0,2,5,1,1,0,1,40,0,0,0,0,0,0,1,0,0
G82,0,2,1,3,0,0,2,1,0,0,0,16,0,2,0,0,0,1,1,0,0
G83,1,0,1,5,0,1,7,4,1,0,2,28,0,0,0,0,1,1,0,2,0
G84,0,0,1,2,0,0,2,2,2,0,0,9,0,0,0,0,0,0,0,0,0
GL1,4,1,5,4,0,3,9,13,2,0,1,67,1,0,1,0,1,3,4,3,0
GL10,0,0,2,0,1,2,2,2,0,0,2,31,0,0,0,0,1,2,1,1,0
GL11,0,1,0,3,0,3,2,0,0,0,1,15,0,0,1,0,0,0,0,1,0
GL12,1,0,0,0,0,1,1,3,0,0,0,9,0,0,1,0,1,4,1,1,0
GL13,0,0,0,1,0,2,1,1,0,0,1,6,0,0,0,0,0,1,0,0,0
GL14,0,0,0,0,0,3,0,1,1,0,1,11,0,1,0,0,0,3,0,0,0
GL15,0,0,2,1,0,2,3,2,0,0,0,19,0,0,0,0,0,2,0,1,0
GL16,1,0,2,1,0,0,1,1,1,0,0,18,0,0,0,0,0,0,1,1,0
GL17,1,0,0,1,0,1,1,2,0,0,0,7,0,1,0,0,0,0,0,0,0
GL18,2,0,0,1,1,0,1,1,1,0,0,11,0,0,0,0,0,0,0,0,0
GL19,0,1,2,2,0,2,0,3,0,0,0,25,0,0,1,0,0,2,0,0,0
GL2,2,1,4,14,1,7,10,8,1,1,5,92,0,0,0,0,1,6,3,6,0
GL20,3,2,4,8,0,3,5,5,0,0,1,28,0,1,2,0,0,2,4,5,0
GL3,4,1,4,8,0,5,2,2,1,1,4,40,0,1,0,0,0,2,1,3,0
GL4,7,3,4,5,0,11,12,9,2,0,3,93,0,2,0,0,0,4,7,8,0
GL5,3,1,2,2,0,3,4,3,0,0,1,24,0,0,0,0,0,3,3,1,0
GL50,7,3,8,13,1,9,17,16,3,1,11,121,0,2,1,0,1,8,7,10,1
GL51,8,1,4,13,0,11,3,11,3,1,7,87,1,1,1,0,1,5,6,13,0
GL52,3,2,3,6,0,3,7,7,2,1,4,64,0,1,1,0,0,2,2,3,0
GL53,0,1,1,2,0,2,2,3,1,0,0,18,0,1,1,0,1,2,1,1,0
GL54,1,1,0,3,0,2,1,4,2,0,3,26,0,1,0,0,0,0,0,0,0
GL55,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0
GL56,0,0,1,1,0,1,1,1,0,0,0,10,0,0,0,0,0,1,0,1,0
GL6,1,2,1,0,0,1,1,2,0,0,1,11,0,0,0,0,0,0,0,0,0
GL7,2,3,3,1,0,2,2,4,0,0,2,37,0,0,0,1,0,1,4,2,0
GL8,1,1,1,1,0,0,1,1,0,0,0,12,0,0,0,0,0,0,0,0,0
GL9,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0
GU1,7,0,5,5,1,7,7,5,1,0,2,66,1,1,0,0,0,6,3,2,0
GU10,0,0,1,0,0,3,1,0,0,1,0,13,0,0,0,0,0,1,1,0,0
GU11,4,1,2,4,0,5,1,4,1,0,0,25,0,0,0,0,0,1,1,3,0
GU12,3,1,5,3,1,5,2,0,0,0,1,27,1,0,0,0,0,1,2,3,0
GU14,7,1,7,5,1,11,9,6,1,0,1,75,1,1,0,0,0,8,3,7,0
GU15,2,1,5,3,1,3,1,2,0,0,4,34,1,0,0,0,0,6,2,4,0
GU16,0,0,4,1,0,1,1,3,1,0,0,12,1,1,0,0,0,2,0,0,0
GU17,0,0,1,2,0,2,2,1,0,0,1,14,2,0,0,0,0,1,0,0,0
GU18,0,0,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0
GU19,1,0,1,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0
GU2,2,0,5,1,0,4,1,0,0,0,2,47,0,0,0,0,0,3,0,3,0
GU20,0,0,1,1,0,0,1,0,0,0,1,2,0,0,0,0,0,0,1,0,0
GU21,2,1,5,3,0,3,2,1,0,0,2,35,0,0,0,0,0,2,5,4,0
GU22,6,1,11,6,0,3,6,6,2,0,3,38,0,1,0,0,0,5,2,2,0
GU23,0,0,0,0,0,0,2,1,0,0,0,6,0,0,0,0,0,0,0,0,0
GU24,2,1,1,2,0,0,1,0,0,0,1,14,0,0,0,0,0,3,0,0,0
GU25,4,0,3,2,0,2,1,2,0,0,1,21,0,1,1,0,1,2,0,0,0
GU26,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
GU27,0,0,2,1,1,0,0,0,0,0,0,8,0,0,0,0,0,0,1,1,0
GU28,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,1,1,0,0
GU29,0,0,1,0,0,0,1,2,0,0,0,4,0,0,0,0,0,2,0,0,0
GU3,1,0,1,0,0,2,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
GU30,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0
GU31,0,0,0,1,0,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0
GU32,1,0,3,0,1,3,1,2,2,0,0,17,0,1,1,0,0,0,1,1,0
GU33,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
GU34,0,1,4,3,2,2,2,3,0,0,4,17,0,1,1,0,0,1,0,4,0
GU35,2,2,2,4,0,2,3,2,0,0,2,12,3,1,0,1,0,1,2,1,0
GU4,1,1,3,2,0,1,1,2,0,0,0,5,0,0,0,0,1,1,0,0,0
GU46,1,0,4,0,0,0,0,4,0,0,1,12,0,0,0,0,0,1,1,3,0
GU47,1,0,3,1,0,1,0,0,1,0,2,6,1,0,0,0,0,0,0,1,0
GU5,0,0,2,2,0,1,0,0,0,1,1,9,0,0,0,0,0,0,0,2,0
GU51,2,0,1,2,0,2,2,3,0,0,0,17,0,1,0,0,0,1,2,1,0
GU52,2,0,1,2,0,3,1,2,2,0,2,9,1,0,1,0,0,0,1,1,0
GU6,1,0,0,1,0,0,2,1,0,0,0,3,0,0,0,0,0,3,1,2,0
GU7,0,0,3,0,0,1,2,1,0,0,0,17,0,0,0,0,0,1,0,1,0
GU8,2,0,0,1,1,0,0,2,0,0,1,21,0,1,0,1,0,3,0,5,0
GU9,5,0,7,4,1,1,5,3,0,0,0,22,0,0,0,0,0,1,1,2,0
HA0,1,0,1,4,0,4,1,3,0,0,4,23,0,0,0,0,0,0,0,4,0
HA1,3,0,0,4,0,4,3,3,0,0,1,23,0,0,0,0,0,6,0,1,0
HA2,1,1,5,3,0,3,3,6,1,0,1,32,0,1,1,0,0,5,0,3,0
HA3,10,2,5,3,0,5,12,7,0,0,5,63,1,1,1,0,0,7,2,7,1
HA4,9,2,6,12,5,4,7,2,1,1,10,45,0,0,0,0,0,15,4,13,0
HA5,2,1,5,2,3,6,4,2,0,0,0,30,0,0,1,0,0,3,2,1,0
HA6,5,0,1,1,0,0,6,3,0,1,2,20,0,1,1,0,0,3,1,4,0
HA7,5,0,3,0,1,4,0,2,0,0,0,16,0,0,0,0,0,3,0,2,0
HA8,11,1,3,4,0,1,4,4,0,0,2,35,0,0,1,1,0,4,4,3,2
HA9,4,2,3,3,0,7,5,9,1,1,4,51,0,0,0,0,0,4,1,5,0
HD1,5,1,2,9,0,10,8,12,1,1,4,101,0,0,0,0,0,4,4,4,0
HD2,1,1,5,3,0,5,7,5,1,2,4,34,1,0,0,0,0,2,1,3,0
HD3,4,2,1,3,0,3,5,5,2,0,3,27,0,0,0,1,1,1,1,5,0
HD4,1,0,0,3,0,3,1,2,0,0,0,21,0,0,0,0,0,1,0,4,1
HD5,5,0,1,2,0,4,3,3,0,0,1,28,0,0,0,0,0,0,1,1,0
HD6,5,0,1,10,0,5,10,2,4,0,2,35,0,0,0,0,0,2,2,2,0
HD7,1,1,2,2,0,4,1,6,4,0,0,20,0,0,1,0,0,2,0,1,0
HD8,5,1,1,2,0,2,2,5,4,0,2,35,0,1,0,0,0,0,0,1,1
HD9,1,0,3,1,0,2,4,4,0,0,0,31,0,0,0,1,0,1,0,0,0
HG1,2,1,1,2,0,3,7,4,0,1,0,25,0,0,0,0,0,2,1,2,0
HG2,3,1,0,5,0,2,5,1,4,0,3,25,0,1,0,0,0,2,2,1,0
HG3,2,1,0,5,0,5,5,2,1,1,1,29,0,0,1,0,0,0,0,1,0
HG4,4,0,1,3,0,5,1,3,5,1,2,19,0,0,0,1,0,1,0,1,0
HG5,1,0,0,1,0,1,2,2,2,0,1,15,1,0,1,0,0,0,0,0,0
HP1,3,0,2,3,0,5,4,2,0,0,2,35,0,0,0,1,0,3,1,6,1
HP10,2,1,0,2,0,0,4,1,0,0,1,16,0,0,0,0,0,6,0,2,0
HP11,2,0,4,2,1,0,2,2,1,3,4,25,0,0,0,1,0,3,0,3,0
HP12,1,1,1,1,4,1,3,1,1,0,1,24,0,0,0,0,0,2,0,3,0
HP13,3,2,2,3,0,9,5,7,1,1,3,37,0,1,0,0,0,5,1,4,0
HP14,3,0,1,2,0,4,3,3,2,1,3,32,0,0,0,1,0,2,1,2,0
HP15,1,0,1,1,0,0,2,2,0,0,2,12,0,0,0,0,0,2,0,0,0
HP16,2,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0
HP17,1,0,0,0,0,2,2,2,0,1,0,10,0,0,0,0,0,0,1,1,0
HP18,1,1,0,1,0,0,2,1,1,0,0,8,0,1,0,0,0,3,0,1,0
HP19,3,0,0,3,0,1,3,2,0,0,1,22,0,0,0,0,0,4,0,4,0
HP2,3,1,2,6,1,3,0,0,1,3,2,30,0,1,0,0,0,4,1,5,0
HP20,3,0,1,1,0,2,3,1,0,0,1,14,0,0,0,0,0,2,0,1,0
HP21,2,0,3,0,0,3,2,1,0,0,1,23,0,0,0,0,0,3,2,3,0
HP22,0,0,3,2,0,3,3,2,0,0,1,17,0,0,1,0,0,0,1,1,0
HP23,0,1,1,0,0,0,4,0,0,0,1,15,0,0,0,0,0,0,1,1,0
HP27,0,1,1,0,0,1,0,0,0,0,0,12,0,0,0,0,0,0,0,3,0
HP3,1,1,2,3,3,4,1,4,1,0,4,25,0,0,1,0,0,5,1,1,1
HP4,2,1,0,4,0,1,5,2,0,0,1,32,0,2,0,0,0,5,0,1,0
HP5,4,0,1,3,0,1,3,1,0,0,2,19,1,0,0,0,0,3,1,8,0
HP6,0,0,1,1,0,0,1,0,0,0,0,12,0,0,1,0,0,1,0,0,1
HP7,2,0,0,2,0,1,0,1,0,0,3,22,0,0,0,0,0,2,0,1,1
HP8,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0
HP9,1,0,4,2,1,3,0,2,1,1,1,13,1,1,0,0,0,0,1,2,1
HR1,0,1,1,1,6,3,1,3,0,1,1,25,0,0,0,0,0,1,4,1,0
HR2,1,1,2,3,5,5,4,4,0,1,1,26,0,0,0,1,0,2,3,2,0
HR3,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HR4,3,1,6,11,8,11,5,4,1,0,1,40,0,1,3,0,1,1,2,4,0
HR5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
HR6,0,0,1,2,0,3,2,1,0,1,0,15,0,0,0,0,0,1,2,2,0
HR7,2,0,0,0,0,4,2,0,0,0,1,8,0,0,1,0,0,0,0,0,0
HR8,0,2,0,2,0,3,1,0,0,0,0,10,0,0,0,0,0,1,1,0,0
HR9,1,0,2,3,0,6,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0
HS1,0,0,0,0,0,0,1,1,0,0,0,7,0,0,0,0,0,0,0,0,0
HS2,0,0,0,1,0,1,0,1,1,0,0,12,0,0,0,0,0,0,1,0,0
HS3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HS4,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
HS5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HS6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HS7,0,0,1,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
HS8,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
HS9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
HU1,2,0,0,0,0,0,3,0,0,0,2,15,0,0,0,1,0,1,0,2,0
HU10,1,1,0,4,0,4,0,1,0,0,1,16,0,0,0,0,0,1,1,4,0
HU11,2,0,0,1,0,1,2,0,0,0,0,9,0,0,0,0,0,1,1,0,0
HU12,1,0,0,1,0,2,7,0,2,0,0,21,0,0,0,0,0,0,1,2,0
HU13,1,0,0,1,0,4,2,2,1,0,0,18,0,0,0,0,0,2,0,0,1
HU14,1,0,0,1,1,2,2,1,2,0,1,5,0,0,0,1,0,0,0,2,1
HU15,3,1,1,7,0,3,6,10,3,1,3,16,0,0,0,1,0,3,0,1,0
HU16,1,0,2,1,0,2,1,2,0,0,0,24,0,0,0,0,0,1,0,1,0
HU17,3,2,5,7,0,4,6,5,1,1,3,60,1,1,0,1,1,2,2,4,0
HU18,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HU19,0,0,0,1,0,1,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0
HU2,0,0,0,0,0,1,0,1,0,0,2,5,0,0,0,0,0,0,0,0,1
HU20,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
HU3,3,0,1,1,0,3,6,7,1,1,0,21,0,0,0,0,1,3,0,3,0
HU4,0,1,2,4,1,3,7,7,1,0,1,16,0,1,0,0,0,1,2,2,0
HU5,8,0,4,11,0,12,12,17,4,1,3,55,0,2,1,2,0,2,2,3,1
HU6,0,0,1,1,1,6,3,5,3,1,1,31,0,0,2,1,0,1,0,1,0
HU7,3,0,3,4,0,3,6,4,3,0,6,41,0,1,1,1,0,1,2,0,0
HU8,2,1,1,5,1,7,9,6,3,0,0,36,0,2,0,1,0,3,5,1,0
HU9,0,0,2,5,0,2,3,4,0,0,0,23,1,0,0,0,0,1,0,2,0
HX1,1,0,3,4,0,4,3,3,0,1,0,25,0,0,0,0,0,1,0,3,1
HX2,5,2,3,11,0,8,5,11,0,0,3,53,0,0,0,1,0,3,4,4,0
HX3,3,0,2,14,0,6,8,11,3,0,5,58,0,1,0,0,1,3,3,4,1
HX4,3,0,0,3,0,2,1,1,0,1,0,11,0,0,0,0,0,2,2,1,0
HX5,0,0,0,3,0,3,1,1,1,0,1,11,0,1,0,0,0,0,0,1,0
HX6,0,0,2,8,0,2,3,2,1,0,1,18,0,0,0,0,0,2,0,0,0
HX7,0,0,0,1,1,0,1,0,0,0,0,10,0,0,0,0,0,0,1,0,0
IG1,8,0,4,4,0,3,2,7,0,0,6,39,0,0,0,0,0,6,1,6,0
IG10,4,2,3,6,3,1,5,3,1,0,3,47,0,0,1,1,0,10,1,20,0
IG11,5,0,1,6,1,4,11,5,0,0,5,31,0,0,0,0,0,10,3,18,0
IG2,4,0,2,1,0,0,1,4,0,0,2,18,0,0,0,0,0,4,1,4,0
IG3,5,1,1,5,0,5,6,6,0,0,1,20,0,0,1,0,1,9,2,9,0
IG4,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,2,2,1,0
IG5,3,0,0,0,0,3,2,2,0,0,1,18,0,0,0,0,0,6,0,4,0
IG6,2,1,4,1,0,1,6,2,0,0,2,25,1,0,0,0,1,2,1,6,0
IG7,5,0,2,7,0,1,0,1,1,1,0,22,0,0,0,0,0,8,2,4,0
IG8,5,0,2,4,1,1,6,5,1,1,2,32,0,0,0,0,0,11,1,11,0
IG9,2,0,2,2,0,1,1,1,1,0,0,15,0,0,0,0,0,1,2,4,0
IP1,4,4,3,3,0,3,8,2,0,4,4,38,0,0,0,0,0,4,2,5,0
IP10,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
IP11,1,1,0,2,0,1,5,2,0,1,2,28,0,3,0,0,0,4,2,3,0
IP12,2,0,0,2,0,2,2,0,0,0,1,18,0,0,0,0,0,4,2,2,1
IP13,3,0,1,4,0,1,0,0,0,2,2,38,0,0,0,0,0,3,0,1,0
IP14,3,3,4,5,0,5,9,2,2,3,1,30,0,0,0,2,0,3,1,2,0
IP15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
IP16,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
IP17,1,0,1,1,1,1,1,0,0,2,1,5,0,0,0,0,0,0,0,2,0
IP18,1,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
IP19,1,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0
IP2,4,2,2,4,0,2,6,5,2,1,0,31,0,1,2,0,1,3,1,1,0
IP20,1,2,0,1,0,2,2,2,0,4,0,10,0,0,0,0,0,0,0,1,0
IP21,1,1,0,0,0,1,0,1,0,2,0,3,0,0,0,0,0,1,0,0,0
IP22,2,0,0,4,0,2,3,3,0,4,1,14,0,0,0,0,0,0,0,3,0
IP23,1,0,0,0,0,1,1,1,0,2,0,5,0,0,0,0,0,0,0,0,0
IP24,0,1,0,5,0,0,6,1,0,3,1,29,0,0,0,0,1,3,1,3,0
IP25,3,0,1,1,0,3,3,2,1,6,2,16,0,0,0,0,0,1,1,3,0
IP26,1,0,0,0,0,0,1,1,0,1,0,6,0,0,0,0,0,1,0,0,0
IP27,0,1,0,3,0,1,1,0,0,1,0,18,0,0,0,0,0,1,0,1,0
IP28,0,0,1,1,0,2,1,4,0,0,1,27,0,1,1,0,0,3,1,1,0
IP29,0,0,0,0,1,0,1,1,0,0,0,20,0,0,0,0,0,1,1,0,0
IP3,3,4,4,6,0,3,2,4,1,4,1,34,0,0,0,0,0,1,1,2,0
IP30,1,0,0,0,0,1,1,0,0,0,1,7,0,0,0,0,0,0,0,1,0
IP31,3,0,2,1,0,1,4,2,0,1,0,15,0,0,0,0,0,1,1,0,0
IP32,1,0,0,3,0,2,4,0,1,1,1,17,0,0,1,0,0,1,0,1,0
IP33,0,0,2,2,0,0,1,1,0,0,1,27,0,0,0,0,0,4,0,5,0
IP4,2,3,7,2,0,5,7,5,3,6,2,55,1,1,0,0,1,5,2,4,0
IP5,5,1,1,3,0,0,2,2,0,2,1,17,0,0,0,1,0,0,2,1,0
IP6,2,0,0,1,0,0,2,0,0,2,2,10,0,0,0,0,0,1,1,0,0
IP7,2,0,0,1,0,0,1,1,0,1,1,9,0,0,0,0,1,1,1,2,0
IP8,2,0,1,0,0,0,1,2,1,0,0,9,0,0,0,0,0,1,0,0,0
IP9,0,0,2,2,0,0,1,0,0,0,0,6,0,0,0,0,0,0,1,0,0
IV1,0,0,0,0,0,2,2,0,0,0,0,12,0,0,0,0,0,0,0,1,0
IV10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0
IV11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IV12,0,0,0,1,0,0,2,0,0,0,0,12,0,0,0,0,0,0,0,0,0
IV13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
IV14,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
IV15,0,0,0,1,0,0,1,2,0,0,1,8,0,0,0,0,0,0,0,0,0
IV16,0,0,1,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0
IV17,0,0,1,4,0,0,1,1,0,0,0,16,0,0,0,0,0,1,1,3,0
IV18,0,0,0,1,0,1,0,0,0,1,0,12,0,0,0,1,0,0,0,1,0
IV19,0,0,1,1,0,1,1,2,2,0,0,4,0,0,0,1,0,0,0,0,0
IV2,1,0,3,4,0,4,9,4,1,1,3,66,0,0,0,0,0,6,0,2,0
IV20,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
IV21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
IV22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IV23,0,0,1,2,0,3,5,1,1,0,2,45,0,0,0,0,0,0,1,1,0
IV24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IV25,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
IV26,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
IV27,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
IV28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IV3,0,1,2,1,0,0,4,3,0,0,1,26,0,0,0,0,0,0,1,3,0
IV30,2,1,0,2,0,3,6,1,1,1,1,56,0,1,0,0,0,2,1,2,0
IV31,0,1,0,0,0,0,2,1,0,0,0,13,0,0,0,0,0,0,1,1,0
IV32,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
IV36,1,0,0,0,0,1,1,2,0,0,2,20,0,0,0,0,0,0,0,0,0
IV4,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0
IV40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IV41,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
IV42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IV43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IV44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IV45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IV46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IV47,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
IV48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IV49,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IV5,1,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0
IV51,1,0,0,2,0,1,0,1,0,0,0,7,0,0,0,0,0,0,1,1,0
IV52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IV53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IV54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IV55,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
IV56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IV6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
IV63,0,1,0,1,0,1,2,1,0,0,0,4,0,0,0,0,0,1,0,0,0
IV7,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0
IV8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
IV9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
KA1,4,2,4,9,0,3,12,5,1,0,0,50,0,0,1,0,0,4,1,3,1
KA10,1,1,1,1,0,1,0,1,0,0,1,19,0,0,0,0,0,1,1,1,0
KA11,0,0,0,1,0,0,2,0,0,0,1,32,0,0,0,0,0,2,0,1,0
KA12,1,0,1,3,0,0,3,0,0,0,0,27,0,0,0,0,0,0,2,5,0
KA13,0,1,1,3,0,1,1,0,1,0,1,25,0,0,1,0,0,2,0,3,0
KA14,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
KA15,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
KA16,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
KA17,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
KA18,1,0,2,9,0,2,8,3,1,0,2,40,0,0,0,1,0,1,2,3,0
KA19,0,0,1,1,0,0,1,0,0,0,0,12,0,0,0,0,1,0,0,1,0
KA2,0,0,1,2,0,0,2,2,0,0,0,8,0,0,0,0,0,0,1,1,0
KA20,1,0,0,0,0,0,3,0,0,0,1,11,0,0,0,0,0,2,0,1,0
KA21,1,0,0,1,0,0,4,2,1,0,0,15,0,0,0,0,0,1,0,0,1
KA22,0,0,1,2,0,0,2,0,0,0,0,11,0,0,1,0,0,0,0,0,0
KA23,0,0,0,1,0,0,0,2,0,0,1,4,0,0,0,0,0,0,0,0,0
KA24,1,0,0,1,0,0,0,1,0,0,0,17,0,0,0,0,0,1,0,0,0
KA25,0,0,0,1,0,1,4,0,0,0,0,12,0,0,0,0,0,3,1,1,0
KA26,0,0,0,0,0,1,1,0,0,0,0,15,0,0,0,0,0,1,0,1,0
KA27,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
KA28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KA29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KA3,1,2,3,10,0,8,9,4,1,2,2,72,0,0,0,0,0,2,4,4,0
